25/07/2024 10:51:23 - Iniciando processo de atualização.

25/07/2024 10:51:24 - Quantidade de cadastro(s): 335.

25/07/2024 10:51:25 - Conexão realizada com sucesso na base de dados: SBOPRODMR.
25/07/2024 10:52:16 - Erro: #137º - Entity with value('CL023215') does not exist
25/07/2024 10:52:16 - Erro: #138º - Entity with value('CL023218') does not exist
25/07/2024 10:52:16 - Erro: #138º - Entity with value('CL023218') does not exist
25/07/2024 10:52:16 - Erro: #139º - Entity with value('CL023219') does not exist
25/07/2024 10:52:16 - Erro: #139º - Entity with value('CL023219') does not exist
25/07/2024 10:52:16 - Erro: #140º - Entity with value('CL023220') does not exist
25/07/2024 10:52:16 - Erro: #140º - Entity with value('CL023220') does not exist
25/07/2024 10:52:17 - Erro: #141º - Entity with value('CL023221') does not exist
25/07/2024 10:52:17 - Erro: #141º - Entity with value('CL023221') does not exist
25/07/2024 10:52:17 - Erro: #142º - Entity with value('CL023263') does not exist
25/07/2024 10:52:17 - Erro: #142º - Entity with value('CL023263') does not exist
25/07/2024 10:52:17 - Erro: #143º - Entity with value('CL023265') does not exist
25/07/2024 10:52:17 - Erro: #143º - Entity with value('CL023265') does not exist
25/07/2024 10:52:17 - Erro: #144º - Entity with value('CL023266') does not exist
25/07/2024 10:52:17 - Erro: #144º - Entity with value('CL023266') does not exist
#25/07/2024 10:52:17 - #145º Parceiro de negocio: CL008151, atualizado com sucesso.
#25/07/2024 10:52:18 - #146º Parceiro de negocio: CL008228, atualizado com sucesso.
#25/07/2024 10:52:19 - #147º Parceiro de negocio: CL008229, atualizado com sucesso.
#25/07/2024 10:52:19 - #148º Parceiro de negocio: CL008230, atualizado com sucesso.
#25/07/2024 10:52:22 - #149º Parceiro de negocio: CL008232, atualizado com sucesso.
#25/07/2024 10:52:24 - #150º Parceiro de negocio: CL008233, atualizado com sucesso.
#25/07/2024 10:52:25 - #151º Parceiro de negocio: CL008234, atualizado com sucesso.
#25/07/2024 10:52:26 - #152º Parceiro de negocio: CL008237, atualizado com sucesso.
#25/07/2024 10:52:27 - #153º Parceiro de negocio: CL008242, atualizado com sucesso.
#25/07/2024 10:52:28 - #154º Parceiro de negocio: CL008248, atualizado com sucesso.
#25/07/2024 10:52:29 - #155º Parceiro de negocio: CL008249, atualizado com sucesso.
#25/07/2024 10:52:29 - #156º Parceiro de negocio: CL008250, atualizado com sucesso.
#25/07/2024 10:52:30 - #157º Parceiro de negocio: CL008254, atualizado com sucesso.
#25/07/2024 10:52:31 - #158º Parceiro de negocio: CL008256, atualizado com sucesso.
#25/07/2024 10:52:33 - #159º Parceiro de negocio: CL008259, atualizado com sucesso.
#25/07/2024 10:52:35 - #160º Parceiro de negocio: CL008260, atualizado com sucesso.
#25/07/2024 10:52:37 - #161º Parceiro de negocio: CL008261, atualizado com sucesso.
#25/07/2024 10:52:38 - #162º Parceiro de negocio: CL008262, atualizado com sucesso.
#25/07/2024 10:52:38 - #163º Parceiro de negocio: CL008263, atualizado com sucesso.
#25/07/2024 10:52:39 - #164º Parceiro de negocio: CL008264, atualizado com sucesso.
#25/07/2024 10:52:40 - #165º Parceiro de negocio: CL008269, atualizado com sucesso.
#25/07/2024 10:52:41 - #166º Parceiro de negocio: CL008270, atualizado com sucesso.
#25/07/2024 10:52:43 - #167º Parceiro de negocio: CL008272, atualizado com sucesso.
#25/07/2024 10:52:43 - #168º Parceiro de negocio: CL008273, atualizado com sucesso.
#25/07/2024 10:52:46 - #169º Parceiro de negocio: CL008274, atualizado com sucesso.
#25/07/2024 10:52:46 - #170º Parceiro de negocio: CL008279, atualizado com sucesso.
#25/07/2024 10:52:47 - #171º Parceiro de negocio: CL008285, atualizado com sucesso.
#25/07/2024 10:52:48 - #172º Parceiro de negocio: CL008287, atualizado com sucesso.
#25/07/2024 10:52:48 - #173º Parceiro de negocio: CL008289, atualizado com sucesso.
#25/07/2024 10:52:49 - #174º Parceiro de negocio: CL008292, atualizado com sucesso.
#25/07/2024 10:52:50 - #175º Parceiro de negocio: CL008294, atualizado com sucesso.
#25/07/2024 10:52:50 - #176º Parceiro de negocio: CL008296, atualizado com sucesso.
#25/07/2024 10:52:51 - #177º Parceiro de negocio: CL008297, atualizado com sucesso.
#25/07/2024 10:52:52 - #178º Parceiro de negocio: CL008298, atualizado com sucesso.
#25/07/2024 10:52:52 - #179º Parceiro de negocio: CL008299, atualizado com sucesso.
#25/07/2024 10:52:53 - #180º Parceiro de negocio: CL008300, atualizado com sucesso.
#25/07/2024 10:52:54 - #181º Parceiro de negocio: CL008308, atualizado com sucesso.
#25/07/2024 10:52:55 - #182º Parceiro de negocio: CL008309, atualizado com sucesso.
#25/07/2024 10:52:56 - #183º Parceiro de negocio: CL008314, atualizado com sucesso.
#25/07/2024 10:52:57 - #184º Parceiro de negocio: CL008315, atualizado com sucesso.
#25/07/2024 10:52:57 - #185º Parceiro de negocio: CL008321, atualizado com sucesso.
#25/07/2024 10:52:58 - #186º Parceiro de negocio: CL008323, atualizado com sucesso.
#25/07/2024 10:52:59 - #187º Parceiro de negocio: CL008324, atualizado com sucesso.
#25/07/2024 10:53:00 - #188º Parceiro de negocio: CL008325, atualizado com sucesso.
#25/07/2024 10:53:01 - #189º Parceiro de negocio: CL008327, atualizado com sucesso.
#25/07/2024 10:53:02 - #190º Parceiro de negocio: CL008332, atualizado com sucesso.
